HoShiMin/Avanguard,https://github.com/HoShiMin/Avanguard,The Win32 Anti-Intrusion Library,C++,2019年3月27日 GMT+8 下午10:50
danigargu/heap-viewer,https://github.com/danigargu/heap-viewer,"An IDA Pro plugin to examine the glibc heap, focused on exploit development",Python,2019年4月10日 GMT+8 上午2:30
hzqst/CGAssistant,https://github.com/hzqst/CGAssistant,crossgate cheat program only cg_item_6000 for now,C++,2019年3月28日 GMT+8 上午6:16
igogo-x86/HexRaysPyTools,https://github.com/igogo-x86/HexRaysPyTools,NoDescr,Python,2019年1月10日 GMT+8 下午6:08
tanduRE/AvastHV,https://github.com/tanduRE/AvastHV,Hooking SSDT with Avast Internet Security Hypervisor,C,2019年4月7日 GMT+8 上午6:46
hfiref0x/WinObjEx64,https://github.com/hfiref0x/WinObjEx64,Windows Object Explorer 64-bit,C,2019年4月4日 GMT+8 下午2:50
bazelbuild/rules_rust,https://github.com/bazelbuild/rules_rust,Rust rules for Bazel,Python,2019年4月6日 GMT+8 上午9:09
lynnux/xspy,https://github.com/lynnux/xspy,Spy for MFC/ATL/WTL window,C++,2019年2月25日 GMT+8 下午3:21
JustasMasiulis/nt_wrapper,https://github.com/JustasMasiulis/nt_wrapper,A wrapper library around native windows sytem APIs,C++,2019年3月24日 GMT+8 下午9:43
jnastarot/shibari,https://github.com/jnastarot/shibari,Framework for linking multiple PE\PE + files to one,C++,2019年3月26日 GMT+8 上午6:08
Bareflank/boxy,https://github.com/Bareflank/boxy,bareflank based hypervisor with guest support,C++,2019年4月7日 GMT+8 下午11:16
odzhan/injection,https://github.com/odzhan/injection,Windows process injection methods,C,2019年3月27日 GMT+8 上午3:43
JKornev/hidden,https://github.com/JKornev/hidden,"Windows driver with usermode interface which can hide objects of file-system and registry, protect processes and etc",C,2018年12月20日 GMT+8 上午7:54
fyc132/skprotect_source,https://github.com/fyc132/skprotect_source,x64 free protect Features 1.process/thread handle protect 2.anti taskmgr.exe 3.hide process 4.anti-debugger(user/kernel debugger),C++,2019年4月3日 GMT+8 下午10:03
hacksysteam/HackSysExtremeVulnerableDriver,https://github.com/hacksysteam/HackSysExtremeVulnerableDriver,HackSys Extreme Vulnerable Windows Driver,C,2018年9月24日 GMT+8 下午10:04
google/cpu_features,https://github.com/google/cpu_features,A cross platform C99 library to get cpu features at runtime.,C,2019年3月20日 GMT+8 下午5:04
ecx86/classinformer-ida7,https://github.com/ecx86/classinformer-ida7,ClassInformer backported for IDA Pro 7.0,C++,2019年3月12日 GMT+8 下午12:36
W4RH4WK/Debloat-Windows-10,https://github.com/W4RH4WK/Debloat-Windows-10,A collection of Scripts which disable / remove Windows 10 Features and Apps,PowerShell,2019年3月15日 GMT+8 上午1:55
phackt/stager.dll,https://github.com/phackt/stager.dll,Code from this article: https://blog.rapid7.com/2018/05/03/hiding-metasploit-shellcode-to-evade-windows-defender/,C++,2019年3月26日 GMT+8 下午11:03
baarsik/Tauros-v2,https://github.com/baarsik/Tauros-v2,NoDescr,C++,2018年10月11日 GMT+8 上午4:09
Microsoft/Detours,https://github.com/Microsoft/Detours,Detours is a software package for monitoring and instrumenting API calls on Windows. It is distributed in source code form.,C++,2019年3月21日 GMT+8 下午2:05
Wunkolo/UWPDumper,https://github.com/Wunkolo/UWPDumper,DLL and Injector for dumping UWP applications at run-time to bypass encrypted file system protection.,C++,2019年3月8日 GMT+8 上午2:13
luciouskami/APEX-EACBypass,https://github.com/luciouskami/APEX-EACBypass,APEX-EACBypass(usermode),C#,2019年2月26日 GMT+8 下午5:52
hanickadot/compile-time-regular-expressions,https://github.com/hanickadot/compile-time-regular-expressions,A Compile time PCRE (almost) compatible regular expression matcher.,C++,2019年3月30日 GMT+8 下午11:34
luciouskami/AnotherApexDebug,https://github.com/luciouskami/AnotherApexDebug,NoDescr,C++,2019年3月6日 GMT+8 上午3:59
wbenny/KSOCKET,https://github.com/wbenny/KSOCKET,KSOCKET provides a very basic example on how to make a network connections in the Windows Driver by using WSK,C,2019年3月16日 GMT+8 上午5:23
strivexjun/XAntiDebug,https://github.com/strivexjun/XAntiDebug,VMProtect 3.x Anti-debug Method Improved,C++,2019年1月21日 GMT+8 下午4:54
horsicq/nfdx64dbg,https://github.com/horsicq/nfdx64dbg,Plugin for x64dbg Linker/Compiler/Tool detector.,C,2019年4月10日 GMT+8 上午12:29
strivexjun/DriverInjectDll,https://github.com/strivexjun/DriverInjectDll,"Using Driver Global Injection dll, it can hide DLL modules",C++,2019年2月26日 GMT+8 下午4:46
bztsrc/raspi3-tutorial,https://github.com/bztsrc/raspi3-tutorial,Bare metal Raspberry Pi 3 tutorials,C,2019年3月31日 GMT+8 上午8:27
hzqst/unicorn_pe,https://github.com/hzqst/unicorn_pe,Unicorn PE is an unicorn based instrumentation project designed to emulate code execution for windows PE files.,C,2019年2月21日 GMT+8 上午7:50
JonathanSalwan/ROPgadget,https://github.com/JonathanSalwan/ROPgadget,"This tool lets you search your gadgets on your binaries to facilitate your ROP exploitation. ROPgadget supports ELF, PE and Mach-O format on x86, x64, ARM, ARM64, PowerPC, SPARC and MIPS architectu…",Python,2019年3月25日 GMT+8 下午5:36
Wenzel/awesome-virtualization,https://github.com/Wenzel/awesome-virtualization,Collection of resources about Virtualization,Unknow language,2019年3月29日 GMT+8 下午8:44
hzqst/VmwareHardenedLoader,https://github.com/hzqst/VmwareHardenedLoader,Vmware Hardened VM detection mitigation loader (anti anti-vm),C,2018年12月7日 GMT+8 下午3:30
seL4/seL4,https://github.com/seL4/seL4,The seL4 microkernel,C,2019年4月9日 GMT+8 上午9:44
Zer0Mem0ry/KernelBhop,https://github.com/Zer0Mem0ry/KernelBhop,Cheat that uses a driver instead WinAPI for Reading / Writing memory.,C,2019年1月2日 GMT+8 下午9:03
fireeye/flare-ida,https://github.com/fireeye/flare-ida,IDA Pro utilities from FLARE team,Python,2019年3月23日 GMT+8 上午12:39
processhacker/phnt,https://github.com/processhacker/phnt,Native API header files for the Process Hacker project.,C,2018年10月3日 GMT+8 上午6:16
airbus-seclab/bincat,https://github.com/airbus-seclab/bincat,"Binary code static analyser, with IDA integration. Performs value and taint analysis, type reconstruction, use-after-free and double-free detection",OCaml,2019年3月27日 GMT+8 下午6:09
TonyChen56/HackerTools,https://github.com/TonyChen56/HackerTools,使用MFC编写的病毒技术合集,Unknow language,2019年3月11日 GMT+8 下午1:25
p-gen/smenu,https://github.com/p-gen/smenu,Terminal utility that reads words from standard input or from a file and creates an interactive selection window just below the cursor. The selected words are then sent to standard output. More in …,C,2019年3月31日 GMT+8 下午3:29
s-matyukevich/raspberry-pi-os,https://github.com/s-matyukevich/raspberry-pi-os,Learning operating system development using Linux kernel and Raspberry Pi,C,2019年3月29日 GMT+8 下午4:44
silverf0x/RpcView,https://github.com/silverf0x/RpcView,RpcView is a free tool to explore and decompile Microsoft RPC interfaces,C++,2019年3月24日 GMT+8 上午5:39
vmcall/x64-vm,https://github.com/vmcall/x64-vm,x86-64 virtual machine and disassembler,C++,2019年4月6日 GMT+8 上午4:08
betaflight/betaflight,https://github.com/betaflight/betaflight,Open Source Flight Controller Firmware,C,2019年4月10日 GMT+8 下午12:43
cypress-io/cypress,https://github.com/cypress-io/cypress,"Fast, easy and reliable testing for anything that runs in a browser.",CoffeeScript,2019年4月10日 GMT+8 下午12:57
mozilla-mobile/fenix,https://github.com/mozilla-mobile/fenix,Fenix is not your parent's Android browser.,Kotlin,2019年4月10日 GMT+8 上午11:41
google/flatbuffers,https://github.com/google/flatbuffers,Memory Efficient Serialization Library,C++,2019年4月10日 GMT+8 上午8:21
MassTransit/MassTransit,https://github.com/MassTransit/MassTransit,Distributed Application Framework for .NET,C#,2019年4月10日 GMT+8 上午11:46
aliyun/alibaba-cloud-sdk-go,https://github.com/aliyun/alibaba-cloud-sdk-go,Alibaba Cloud SDK for Go programming language.,Go,2019年4月10日 GMT+8 下午1:38
dotnet/core,https://github.com/dotnet/core,Home repository for .NET Core,Shell,2019年4月10日 GMT+8 下午12:27
cpprefjp/site,https://github.com/cpprefjp/site,cpprefjpサイトのMarkdownソース,Unknow language,2019年4月9日 GMT+8 下午10:19
GoogleWebComponents/model-viewer,https://github.com/GoogleWebComponents/model-viewer,Easily display interactive 3D models on the web and in AR!,JavaScript,2019年4月10日 GMT+8 上午4:35
Fyrd/caniuse,https://github.com/Fyrd/caniuse,Raw browser/feature support data from caniuse.com,JavaScript,2019年4月10日 GMT+8 上午11:15
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,The https://www.freeCodeCamp.org open source codebase and curriculum. Learn to code for free together with millions of people.,JavaScript,2019年4月10日 GMT+8 下午1:48
urbit/arvo,https://github.com/urbit/arvo,The Urbit operating system,JavaScript,2019年4月10日 GMT+8 上午11:15
xwiki/xwiki-platform,https://github.com/xwiki/xwiki-platform,The XWiki platform,Java,2019年4月10日 GMT+8 上午12:00
apache/arrow,https://github.com/apache/arrow,"Apache Arrow is a cross-language development platform for in-memory data. It specifies a standardized language-independent columnar memory format for flat and hierarchical data, organized for effic…",C++,2019年4月10日 GMT+8 上午11:51
EternityX/DEADCELL-CSGO,https://github.com/EternityX/DEADCELL-CSGO,Full source to the CS:GO cheat,C,2019年4月10日 GMT+8 上午5:42
umbraco/Umbraco-CMS,https://github.com/umbraco/Umbraco-CMS,"The simple, flexible and friendly ASP.NET CMS used by more than 400.000 websites",C#,2019年4月10日 GMT+8 上午7:52
ant-design/ant-design,https://github.com/ant-design/ant-design,🌈 A UI Design Language,TypeScript,2019年4月10日 GMT+8 上午11:58
pi-hole/pi-hole,https://github.com/pi-hole/pi-hole,A black hole for Internet advertisements,Shell,2019年4月9日 GMT+8 上午11:35
RocketChat/Rocket.Chat,https://github.com/RocketChat/Rocket.Chat,"Have your own Slack like online chat, built with Meteor.",JavaScript,2019年4月10日 GMT+8 下午1:08
cnlh/nps,https://github.com/cnlh/nps,一款轻量级、功能强大的内网穿透代理服务器。支持tcp、udp流量转发，支持内网http代理、内网socks5代理，同时支持snappy压缩、站点保护、加密传输、多路复用、header修改等。支持web图形化管理，集成多用户模式。,Go,2019年4月8日 GMT+8 下午8:44
MirServer/mir,https://github.com/MirServer/mir,The Mir compositor,C++,2019年4月10日 GMT+8 下午1:45
Qiskit/qiskit-aer,https://github.com/Qiskit/qiskit-aer,Aer is a high performance simulator for quantum circuits that includes noise models,Python,2019年4月10日 GMT+8 上午5:16
burst-apps-team/phoenix,https://github.com/burst-apps-team/phoenix,BURST Cross-Platform Wallet UI,TypeScript,2019年4月10日 GMT+8 下午12:09
denoland/deno,https://github.com/denoland/deno,"A secure JavaScript/TypeScript runtime built with V8, Rust, and Tokio",TypeScript,2019年4月10日 GMT+8 下午1:25
ansible/awx,https://github.com/ansible/awx,AWX Project,Python,2019年4月10日 GMT+8 上午5:19
nats-io/gnatsd,https://github.com/nats-io/gnatsd,"High-Performance server for NATS, the cloud native messaging system.",Go,2019年4月10日 GMT+8 上午9:04
envoyproxy/envoy,https://github.com/envoyproxy/envoy,Cloud-native high-performance edge/middle/service proxy,C++,2019年4月10日 GMT+8 下午12:24
esp8266/Arduino,https://github.com/esp8266/Arduino,ESP8266 core for Arduino,C,2019年4月10日 GMT+8 上午6:14
prysmaticlabs/prysm,https://github.com/prysmaticlabs/prysm,Go implementation of Ethereum 2.0 - casper & sharding,Go,2019年4月10日 GMT+8 下午1:07
